2023/01/23 15:43:33 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/23 15:43:35 app,line: 22     INFO | Logger object created successfully..
2023/01/23 15:43:35 app,line: 26     INFO | dash-trading started
2023/01/23 15:46:08 app,line: 22     INFO | Logger object created successfully..
2023/01/23 15:46:08 app,line: 26     INFO | dash-trading started
2023/01/23 15:46:27 app,line: 22     INFO | Logger object created successfully..
2023/01/23 15:46:27 app,line: 26     INFO | dash-trading started
2023/01/23 15:46:51 app,line: 22     INFO | Logger object created successfully..
2023/01/23 15:46:51 app,line: 26     INFO | dash-trading started
2023/01/23 15:46:54 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/23 15:46:55 app,line: 22     INFO | Logger object created successfully..
2023/01/23 15:46:55 app,line: 26     INFO | dash-trading started
2023/01/23 18:30:30 app,line: 22     INFO | Logger object created successfully..
2023/01/23 18:30:30 app,line: 26     INFO | dash-trading started
2023/01/23 18:31:04 app,line: 22     INFO | Logger object created successfully..
2023/01/23 18:31:04 app,line: 26     INFO | dash-trading started
2023/01/23 18:31:06 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/23 18:31:08 app,line: 22     INFO | Logger object created successfully..
2023/01/23 18:31:08 app,line: 26     INFO | dash-trading started
2023/01/23 18:36:23 app,line: 22     INFO | Logger object created successfully..
2023/01/23 18:36:23 app,line: 26     INFO | dash-trading started
2023/01/23 18:36:26 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/23 18:36:28 app,line: 22     INFO | Logger object created successfully..
2023/01/23 18:36:28 app,line: 26     INFO | dash-trading started
2023/01/23 18:38:10 app,line: 22     INFO | Logger object created successfully..
2023/01/23 18:38:10 app,line: 26     INFO | dash-trading started
2023/01/23 18:38:13 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/23 18:38:14 app,line: 22     INFO | Logger object created successfully..
2023/01/23 18:38:14 app,line: 26     INFO | dash-trading started
2023/01/23 18:40:17 app,line: 22     INFO | Logger object created successfully..
2023/01/23 18:40:17 app,line: 26     INFO | dash-trading started
2023/01/23 18:40:20 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/23 18:40:21 app,line: 22     INFO | Logger object created successfully..
2023/01/23 18:40:21 app,line: 26     INFO | dash-trading started
2023/01/24 11:02:59 app,line: 22     INFO | Logger object created successfully..
2023/01/24 11:02:59 app,line: 26     INFO | dash-trading started
2023/01/24 11:03:01 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/24 11:03:03 app,line: 22     INFO | Logger object created successfully..
2023/01/24 11:03:03 app,line: 26     INFO | dash-trading started
2023/01/24 11:10:39 app,line: 22     INFO | Logger object created successfully..
2023/01/24 11:10:39 app,line: 26     INFO | dash-trading started
2023/01/24 11:10:40 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/24 11:10:41 app,line: 22     INFO | Logger object created successfully..
2023/01/24 11:10:41 app,line: 26     INFO | dash-trading started
2023/01/24 11:13:02 app,line: 22     INFO | Logger object created successfully..
2023/01/24 11:13:02 app,line: 26     INFO | dash-trading started
2023/01/24 11:13:04 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/24 11:13:05 app,line: 22     INFO | Logger object created successfully..
2023/01/24 11:13:05 app,line: 26     INFO | dash-trading started
2023/01/24 11:21:15 app,line: 22     INFO | Logger object created successfully..
2023/01/24 11:21:15 app,line: 26     INFO | dash-trading started
2023/01/24 11:21:17 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/24 11:21:18 app,line: 22     INFO | Logger object created successfully..
2023/01/24 11:21:18 app,line: 26     INFO | dash-trading started
2023/01/24 11:25:33 app,line: 22     INFO | Logger object created successfully..
2023/01/24 11:25:33 app,line: 26     INFO | dash-trading started
2023/01/24 11:25:34 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/24 11:25:35 app,line: 22     INFO | Logger object created successfully..
2023/01/24 11:25:35 app,line: 26     INFO | dash-trading started
2023/01/24 11:27:34 app,line: 22     INFO | Logger object created successfully..
2023/01/24 11:27:34 app,line: 26     INFO | dash-trading started
2023/01/24 11:27:36 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/24 11:27:37 app,line: 22     INFO | Logger object created successfully..
2023/01/24 11:27:37 app,line: 26     INFO | dash-trading started
2023/01/24 11:29:09 app,line: 22     INFO | Logger object created successfully..
2023/01/24 11:29:09 app,line: 26     INFO | dash-trading started
2023/01/24 11:29:10 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/24 11:29:11 app,line: 22     INFO | Logger object created successfully..
2023/01/24 11:29:11 app,line: 26     INFO | dash-trading started
2023/01/24 11:31:56 app,line: 22     INFO | Logger object created successfully..
2023/01/24 11:31:56 app,line: 26     INFO | dash-trading started
2023/01/24 11:31:57 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/24 11:31:58 app,line: 22     INFO | Logger object created successfully..
